Kab. Berau,university,8279
Kab. Biak Numfor,elementary,20602
Kab. Biak Numfor,high school,27524
Kab. Biak Numfor,junior high school,18423
Kab. Biak Numfor,less than elementary,4919
Kab. Biak Numfor,university,6400
Kab. Bima,elementary,68206
Kab. Bima,high school,72957
Kab. Bima,junior high school,54798
Kab. Bima,less than elementary,21698
Kab. Bima,university,16163
Kab. Bintan,elementary,25268
Kab. Bintan,high school,31814
Kab. Bintan,junior high school,19373
Kab. Bintan,less than elementary,11265
Kab. Bintan,university,5777
Kab. Bireuen,elementary,78680
Kab. Bireuen,high school,76173
Kab. Bireuen,junior high school,79265
Kab. Bireuen,less than elementary,10383
Kab. Bireuen,university,20506
Kab. Blitar,elementary,324235
Kab. Blitar,high school,138213
Kab. Blitar,junior high school,197010
Kab. Blitar,less than elementary,81911
Kab. Blitar,university,33043
Kab. Blora,elementary,271663
Kab. Blora,high school,83920
Kab. Blora,junior high school,117740
Kab. Blora,less than elementary,40997
Kab. Blora,university,22188
Kab. Boalemo,elementary,29047
Kab. Boalemo,high school,9320
Kab. Boalemo,junior high school,11482
Kab. Boalemo,less than elementary,30046
Kab. Boalemo,university,2851
Kab. Bogor,elementary,1235182
Kab. Bogor,high school,758309
Kab. Bogor,junior high school,676279
Kab. Bogor,less than elementary,231534
Kab. Bogor,university,175538
Kab. Bojonegoro,elementary,357278
Kab. Bojonegoro,high school,130161
Kab. Bojonegoro,junior high school,199682
Kab. Bojonegoro,less than elementary,55968
Kab. Bojonegoro,university,30730
Kab. Bolaang Mongondow,elementary,57703
Kab. Bolaang Mongondow,high school,23934
Kab. Bolaang Mongondow,junior high school,34971
Kab. Bolaang Mongondow,less than elementary,22933
Kab. Bolaang Mongondow,university,3600
Kab. Bolaang Mongondow Selatan,elementary,16905
Kab. Bolaang Mongondow Selatan,high school,4604
Kab. Bolaang Mongondow Selatan,junior high school,7772
Kab. Bolaang Mongondow Selatan,less than elementary,6169
Kab. Bolaang Mongondow Selatan,university,984
Kab. Bolaang Mongondow Timur,elementary,17733
Kab. Bolaang Mongondow Timur,high school,6903
Kab. Bolaang Mongondow Timur,junior high school,9601
Kab. Bolaang Mongondow Timur,less than elementary,8524
Kab. Bolaang Mongondow Timur,university,1176
Kab. Bolaang Mongondow Utara,elementary,16970
Kab. Bolaang Mongondow Utara,high school,7548
Kab. Bolaang Mongondow Utara,junior high school,10000
Kab. Bolaang Mongondow Utara,less than elementary,10470
