Kab. Banyuwangi,Tamat SLTP,252749
Kab. Banyuwangi,Tidak/Belum Tamat SD,100141
Kab. Barito Kuala,Tamat PT,7775
Kab. Barito Kuala,Tamat SD,69582
Kab. Barito Kuala,Tamat SLTA,29498
Kab. Barito Kuala,Tamat SLTP,41440
Kab. Barito Kuala,Tidak/Belum Tamat SD,31975
Kab. Barito Selatan,Tamat PT,5730
Kab. Barito Selatan,Tamat SD,30721
Kab. Barito Selatan,Tamat SLTA,17806
Kab. Barito Selatan,Tamat SLTP,20579
Kab. Barito Selatan,Tidak/Belum Tamat SD,8147
Kab. Barito Timur,Tamat PT,5229
Kab. Barito Timur,Tamat SD,21906
Kab. Barito Timur,Tamat SLTA,16613
Kab. Barito Timur,Tamat SLTP,16224
Kab. Barito Timur,Tidak/Belum Tamat SD,5724
Kab. Barito Utara,Tamat PT,5147
Kab. Barito Utara,Tamat SD,28858
Kab. Barito Utara,Tamat SLTA,16948
Kab. Barito Utara,Tamat SLTP,19956
Kab. Barito Utara,Tidak/Belum Tamat SD,9244
Kab. Barru,Tamat PT,8944
Kab. Barru,Tamat SD,41764
Kab. Barru,Tamat SLTA,21556
Kab. Barru,Tamat SLTP,20653
Kab. Barru,Tidak/Belum Tamat SD,8342
Kab. Batang,Tamat PT,17461
Kab. Batang,Tamat SD,233502
Kab. Batang,Tamat SLTA,57057
Kab. Batang,Tamat SLTP,104386
Kab. Batang,Tidak/Belum Tamat SD,52781
Kab. Batang Hari,Tamat PT,8181
Kab. Batang Hari,Tamat SD,58489
Kab. Batang Hari,Tamat SLTA,31076
Kab. Batang Hari,Tamat SLTP,36843
Kab. Batang Hari,Tidak/Belum Tamat SD,17594
Kab. Batu Bara,Tamat PT,8485
Kab. Batu Bara,Tamat SD,86714
Kab. Batu Bara,Tamat SLTA,56129
Kab. Batu Bara,Tamat SLTP,60456
Kab. Batu Bara,Tidak/Belum Tamat SD,25032
Kab. Bekasi,Tamat PT,118130
Kab. Bekasi,Tamat SD,471368
Kab. Bekasi,Tamat SLTA,680099
Kab. Bekasi,Tamat SLTP,375312
Kab. Bekasi,Tidak/Belum Tamat SD,77602
Kab. Belitung,Tamat PT,5738
Kab. Belitung,Tamat SD,42006
Kab. Belitung,Tamat SLTA,25853
Kab. Belitung,Tamat SLTP,22338
Kab. Belitung,Tidak/Belum Tamat SD,13319
Kab. Belitung Timur,Tamat PT,3759
Kab. Belitung Timur,Tamat SD,30401
Kab. Belitung Timur,Tamat SLTA,16115
Kab. Belitung Timur,Tamat SLTP,15142
Kab. Belitung Timur,Tidak/Belum Tamat SD,9081
Kab. Belu,Tamat PT,7920
Kab. Belu,Tamat SD,75978
Kab. Belu,Tamat SLTA,33136
Kab. Belu,Tamat SLTP,32893
Kab. Belu,Tidak/Belum Tamat SD,17346
Kab. Bener Meriah,Tamat PT,5511
Kab. Bener Meriah,Tamat SD,22736
Kab. Bener Meriah,Tamat SLTA,23336
Kab. Bener Meriah,Tamat SLTP,23746
Kab. Bener Meriah,Tidak/Belum Tamat SD,4297
Kab. Bengkalis,Tamat PT,22079
Kab. Bengkalis,Tamat SD,98013
Kab. Bengkalis,Tamat SLTA,104967
Kab. Bengkalis,Tamat SLTP,74328
Kab. Bengkalis,Tidak/Belum Tamat SD,18764
Kab. Bengkayang,Tamat PT,4598
Kab. Bengkayang,Tamat SD,51927
Kab. Bengkayang,Tamat SLTA,20003
Kab. Bengkayang,Tamat SLTP,27524
Kab. Bengkayang,Tidak/Belum Tamat SD,22154
Kab. Bengkulu Selatan,Tamat PT,8170
Kab. Bengkulu Selatan,Tamat SD,24492
Kab. Bengkulu Selatan,Tamat SLTA,27768
Kab. Bengkulu Selatan,Tamat SLTP,23007
Kab. Bengkulu Selatan,Tidak/Belum Tamat SD,8987
Kab. Bengkulu Tengah,Tamat PT,2254
Kab. Bengkulu Tengah,Tamat SD,21533
Kab. Bengkulu Tengah,Tamat SLTA,12079
Kab. Bengkulu Tengah,Tamat SLTP,14290
Kab. Bengkulu Tengah,Tidak/Belum Tamat SD,9368
Kab. Bengkulu Utara,Tamat PT,8157
Kab. Bengkulu Utara,Tamat SD,64060
Kab. Bengkulu Utara,Tamat SLTA,33772
Kab. Bengkulu Utara,Tamat SLTP,39137
Kab. Bengkulu Utara,Tidak/Belum Tamat SD,19872
Kab. Berau,Tamat PT,8279
Kab. Berau,Tamat SD,37232
Kab. Berau,Tamat SLTA,33554
Kab. Berau,Tamat SLTP,26686
Kab. Berau,Tidak/Belum Tamat SD,10336
Kab. Biak Numfor,Tamat PT,6400
Kab. Biak Numfor,Tamat SD,20602
Kab. Biak Numfor,Tamat SLTA,27524
Kab. Biak Numfor,Tamat SLTP,18423
Kab. Biak Numfor,Tidak/Belum Tamat SD,4919
Kab. Bima,Tamat PT,16163
Kab. Bima,Tamat SD,68206
Kab. Bima,Tamat SLTA,72957
Kab. Bima,Tamat SLTP,54798
Kab. Bima,Tidak/Belum Tamat SD,21698
Kab. Bintan,Tamat PT,5777
Kab. Bintan,Tamat SD,25268
Kab. Bintan,Tamat SLTA,31814
Kab. Bintan,Tamat SLTP,19373
Kab. Bintan,Tidak/Belum Tamat SD,11265
Kab. Bireuen,Tamat PT,20506
Kab. Bireuen,Tamat SD,78680
Kab. Bireuen,Tamat SLTA,76173
Kab. Bireuen,Tamat SLTP,79265
Kab. Bireuen,Tidak/Belum Tamat SD,10383
Kab. Blitar,Tamat PT,33043
Kab. Blitar,Tamat SD,324235
Kab. Blitar,Tamat SLTA,138213
Kab. Blitar,Tamat SLTP,197010
Kab. Blitar,Tidak/Belum Tamat SD,81911
Kab. Blora,Tamat PT,22188
Kab. Blora,Tamat SD,271663
Kab. Blora,Tamat SLTA,83920
Kab. Blora,Tamat SLTP,117740
Kab. Blora,Tidak/Belum Tamat SD,40997
Kab. Boalemo,Tamat PT,2851
Kab. Boalemo,Tamat SD,29047
Kab. Boalemo,Tamat SLTA,9320
Kab. Boalemo,Tamat SLTP,11482
Kab. Boalemo,Tidak/Belum Tamat SD,30046
Kab. Bogor,Tamat PT,175538
Kab. Bogor,Tamat SD,1235182
Kab. Bogor,Tamat SLTA,758309
Kab. Bogor,Tamat SLTP,676279
Kab. Bogor,Tidak/Belum Tamat SD,231534
Kab. Bojonegoro,Tamat PT,30730
Kab. Bojonegoro,Tamat SD,357278
Kab. Bojonegoro,Tamat SLTA,130161
Kab. Bojonegoro,Tamat SLTP,199682
Kab. Bojonegoro,Tidak/Belum Tamat SD,55968
Kab. Bolaang Mongondow,Tamat PT,3600
Kab. Bolaang Mongondow,Tamat SD,57703
Kab. Bolaang Mongondow,Tamat SLTA,23934
Kab. Bolaang Mongondow,Tamat SLTP,34971
Kab. Bolaang Mongondow,Tidak/Belum Tamat SD,22933
Kab. Bolaang Mongondow Selatan,Tamat PT,984
Kab. Bolaang Mongondow Selatan,Tamat SD,16905
Kab. Bolaang Mongondow Selatan,Tamat SLTA,4604
Kab. Bolaang Mongondow Selatan,Tamat SLTP,7772
Kab. Bolaang Mongondow Selatan,Tidak/Belum Tamat SD,6169
Kab. Bolaang Mongondow Timur,Tamat PT,1176
Kab. Bolaang Mongondow Timur,Tamat SD,17733
Kab. Bolaang Mongondow Timur,Tamat SLTA,6903
Kab. Bolaang Mongondow Timur,Tamat SLTP,9601
Kab. Bolaang Mongondow Timur,Tidak/Belum Tamat SD,8524
Kab. Bolaang Mongondow Utara,Tamat PT,2023
Kab. Bolaang Mongondow Utara,Tamat SD,16970
Kab. Bolaang Mongondow Utara,Tamat SLTA,7548
Kab. Bolaang Mongondow Utara,Tamat SLTP,10000
Kab. Bolaang Mongondow Utara,Tidak/Belum Tamat SD,10470
Kab. Bombana,Tamat PT,4398
Kab. Bombana,Tamat SD,32549
Kab. Bombana,Tamat SLTA,15775
Kab. Bombana,Tamat SLTP,15367
Kab. Bombana,Tidak/Belum Tamat SD,11977
Kab. Bondowoso,Tamat PT,16491
Kab. Bondowoso,Tamat SD,218861
Kab. Bondowoso,Tamat SLTA,55937
Kab. Bondowoso,Tamat SLTP,70301
Kab. Bondowoso,Tidak/Belum Tamat SD,59631
Kab. Bone,Tamat PT,25658
Kab. Bone,Tamat SD,183121
Kab. Bone,Tamat SLTA,75203
Kab. Bone,Tamat SLTP,75921
Kab. Bone,Tidak/Belum Tamat SD,44695
Kab. Bone Bolango,Tamat PT,4745
Kab. Bone Bolango,Tamat SD,32637
Kab. Bone Bolango,Tamat SLTA,18852
Kab. Bone Bolango,Tamat SLTP,16589
Kab. Bone Bolango,Tidak/Belum Tamat SD,21182
Kab. Boven Digoel,Tamat PT,1547
Kab. Boven Digoel,Tamat SD,9559
Kab. Boven Digoel,Tamat SLTA,8837
Kab. Boven Digoel,Tamat SLTP,6563
Kab. Boven Digoel,Tidak/Belum Tamat SD,4159
Kab. Boyolali,Tamat PT,35275
Kab. Boyolali,Tamat SD,233077
Kab. Boyolali,Tamat SLTA,139519
Kab. Boyolali,Tamat SLTP,153358
Kab. Boyolali,Tidak/Belum Tamat SD,37686
Kab. Brebes,Tamat PT,33546
Kab. Brebes,Tamat SD,555482
Kab. Brebes,Tamat SLTA,117113
Kab. Brebes,Tamat SLTP,199630
Kab. Brebes,Tidak/Belum Tamat SD,162507
Kab. Buleleng,Tamat PT,22920
Kab. Buleleng,Tamat SD,164025
Kab. Buleleng,Tamat SLTA,89185
Kab. Buleleng,Tamat SLTP,75301
Kab. Buleleng,Tidak/Belum Tamat SD,39427
Kab. Bulukumba,Tamat PT,15716
Kab. Bulukumba,Tamat SD,85540
Kab. Bulukumba,Tamat SLTA,50711
Kab. Bulukumba,Tamat SLTP,47958
Kab. Bulukumba,Tidak/Belum Tamat SD,21999
Kab. Bulungan,Tamat PT,5275
Kab. Bulungan,Tamat SD,21936
Kab. Bulungan,Tamat SLTA,17553
Kab. Bulungan,Tamat SLTP,15425
Kab. Bulungan,Tidak/Belum Tamat SD,8833
Kab. Bungo,Tamat PT,11070
Kab. Bungo,Tamat SD,72112
Kab. Bungo,Tamat SLTA,44886
Kab. Bungo,Tamat SLTP,47930
Kab. Bungo,Tidak/Belum Tamat SD,18928
Kab. Buol,Tamat PT,4684
Kab. Buol,Tamat SD,32184
Kab. Buol,Tamat SLTA,14650
Kab. Buol,Tamat SLTP,19616
Kab. Buol,Tidak/Belum Tamat SD,8937
Kab. Buru,Tamat PT,4090
Kab. Buru,Tamat SD,18709
Kab. Buru,Tamat SLTA,14981
Kab. Buru,Tamat SLTP,14266
Kab. Buru,Tidak/Belum Tamat SD,6505
Kab. Buru Selatan,Tamat PT,1467
Kab. Buru Selatan,Tamat SD,10253
Kab. Buru Selatan,Tamat SLTA,5475
Kab. Buru Selatan,Tamat SLTP,6295
Kab. Buru Selatan,Tidak/Belum Tamat SD,2409
Kab. Buton,Tamat PT,6771
Kab. Buton,Tamat SD,45073
Kab. Buton,Tamat SLTA,22433
Kab. Buton,Tamat SLTP,29091
Kab. Buton,Tidak/Belum Tamat SD,18678
Kab. Buton Utara,Tamat PT,2178
Kab. Buton Utara,Tamat SD,10472
Kab. Buton Utara,Tamat SLTA,6119
Kab. Buton Utara,Tamat SLTP,7052
Kab. Buton Utara,Tidak/Belum Tamat SD,3457
Kab. Ciamis,Tamat PT,39051
Kab. Ciamis,Tamat SD,653621
Kab. Ciamis,Tamat SLTA,131662
Kab. Ciamis,Tamat SLTP,224512
Kab. Ciamis,Tidak/Belum Tamat SD,40630
Kab. Cianjur,Tamat PT,38745
Kab. Cianjur,Tamat SD,931401
Kab. Cianjur,Tamat SLTA,163204
Kab. Cianjur,Tamat SLTP,228767
Kab. Cianjur,Tidak/Belum Tamat SD,81039
Kab. Cilacap,Tamat PT,43078
Kab. Cilacap,Tamat SD,512389
Kab. Cilacap,Tamat SLTA,169880
Kab. Cilacap,Tamat SLTP,241148
Kab. Cilacap,Tidak/Belum Tamat SD,121057
Kab. Cirebon,Tamat PT,51954
Kab. Cirebon,Tamat SD,607497
Kab. Cirebon,Tamat SLTA,243127
Kab. Cirebon,Tamat SLTP,285423
Kab. Cirebon,Tidak/Belum Tamat SD,138003
Kab. Dairi,Tamat PT,8912
Kab. Dairi,Tamat SD,46171
Kab. Dairi,Tamat SLTA,44250
Kab. Dairi,Tamat SLTP,52817
Kab. Dairi,Tidak/Belum Tamat SD,11962
Kab. Deiyai,Tamat PT,485
Kab. Deiyai,Tamat SD,3154
Kab. Deiyai,Tamat SLTA,3111
Kab. Deiyai,Tamat SLTP,3534
Kab. Deiyai,Tidak/Belum Tamat SD,5741
Kab. Deli Serdang,Tamat PT,77876
Kab. Deli Serdang,Tamat SD,280389
Kab. Deli Serdang,Tamat SLTA,474102
Kab. Deli Serdang,Tamat SLTP,330539
Kab. Deli Serdang,Tidak/Belum Tamat SD,46032
Kab. Demak,Tamat PT,28855
Kab. Demak,Tamat SD,314010
Kab. Demak,Tamat SLTA,126318
Kab. Demak,Tamat SLTP,197650
Kab. Demak,Tidak/Belum Tamat SD,46568
Kab. Dharmas Raya,Tamat PT,7262
Kab. Dharmas Raya,Tamat SD,45272
Kab. Dharmas Raya,Tamat SLTA,27121
Kab. Dharmas Raya,Tamat SLTP,33107
Kab. Dharmas Raya,Tidak/Belum Tamat SD,12867
Kab. Dogiyai,Tamat PT,734
Kab. Dogiyai,Tamat SD,5224
Kab. Dogiyai,Tamat SLTA,3613
Kab. Dogiyai,Tamat SLTP,5395
Kab. Dogiyai,Tidak/Belum Tamat SD,2518
Kab. Dompu,Tamat PT,9768
Kab. Dompu,Tamat SD,27059
Kab. Dompu,Tamat SLTA,32915
Kab. Dompu,Tamat SLTP,27365
Kab. Dompu,Tidak/Belum Tamat SD,11075
Kab. Donggala,Tamat PT,5759
Kab. Donggala,Tamat SD,78966
Kab. Donggala,Tamat SLTA,26070
Kab. Donggala,Tamat SLTP,33645
Kab. Donggala,Tidak/Belum Tamat SD,19129
Kab. Empat Lawang,Tamat PT,3627
Kab. Empat Lawang,Tamat SD,62059
Kab. Empat Lawang,Tamat SLTA,25888
Kab. Empat Lawang,Tamat SLTP,37164
Kab. Empat Lawang,Tidak/Belum Tamat SD,15330
Kab. Ende,Tamat PT,10279
Kab. Ende,Tamat SD,58413
Kab. Ende,Tamat SLTA,35121
Kab. Ende,Tamat SLTP,27165
Kab. Ende,Tidak/Belum Tamat SD,29274
Kab. Enrekang,Tamat PT,10050
Kab. Enrekang,Tamat SD,31049
Kab. Enrekang,Tamat SLTA,27645
Kab. Enrekang,Tamat SLTP,27833
Kab. Enrekang,Tidak/Belum Tamat SD,10819
Kab. Fakfak,Tamat PT,3980
Kab. Fakfak,Tamat SD,11542
Kab. Fakfak,Tamat SLTA,12880
Kab. Fakfak,Tamat SLTP,10258
Kab. Fakfak,Tidak/Belum Tamat SD,2821
Kab. Flores Timur,Tamat PT,7041
Kab. Flores Timur,Tamat SD,64064
Kab. Flores Timur,Tamat SLTA,22674
Kab. Flores Timur,Tamat SLTP,22954
Kab. Flores Timur,Tidak/Belum Tamat SD,17379
Kab. Garut,Tamat PT,51518
Kab. Garut,Tamat SD,854025
Kab. Garut,Tamat SLTA,228535
Kab. Garut,Tamat SLTP,321455
Kab. Garut,Tidak/Belum Tamat SD,102914
Kab. Gayo Lues,Tamat PT,3910
Kab. Gayo Lues,Tamat SD,13397
Kab. Gayo Lues,Tamat SLTA,9628
Kab. Gayo Lues,Tamat SLTP,10532
Kab. Gayo Lues,Tidak/Belum Tamat SD,4812
Kab. Gianyar,Tamat PT,28226
Kab. Gianyar,Tamat SD,87188
Kab. Gianyar,Tamat SLTA,116000
Kab. Gianyar,Tamat SLTP,62219
Kab. Gianyar,Tidak/Belum Tamat SD,13202
Kab. Gorontalo,Tamat PT,10129
Kab. Gorontalo,Tamat SD,80310
Kab. Gorontalo,Tamat SLTA,37446
Kab. Gorontalo,Tamat SLTP,33159
Kab. Gorontalo,Tidak/Belum Tamat SD,70832
Kab. Gorontalo Utara,Tamat PT,1915
Kab. Gorontalo Utara,Tamat SD,27142
Kab. Gorontalo Utara,Tamat SLTA,7042
Kab. Gorontalo Utara,Tamat SLTP,9202
Kab. Gorontalo Utara,Tidak/Belum Tamat SD,20675
Kab. Gowa,Tamat PT,28915
Kab. Gowa,Tamat SD,117181
Kab. Gowa,Tamat SLTA,103260
Kab. Gowa,Tamat SLTP,82578
Kab. Gowa,Tidak/Belum Tamat SD,30989
Kab. Gresik,Tamat PT,57079
Kab. Gresik,Tamat SD,253942
Kab. Gresik,Tamat SLTA,261433
Kab. Gresik,Tamat SLTP,211223
Kab. Gresik,Tidak/Belum Tamat SD,39224
Kab. Grobogan,Tamat PT,26590
Kab. Grobogan,Tamat SD,501910
Kab. Grobogan,Tamat SLTA,102402
Kab. Grobogan,Tamat SLTP,203231
Kab. Grobogan,Tidak/Belum Tamat SD,49267
Kab. Gunung Kidul,Tamat PT,17573
Kab. Gunung Kidul,Tamat SD,178868
Kab. Gunung Kidul,Tamat SLTA,76478
Kab. Gunung Kidul,Tamat SLTP,114674
Kab. Gunung Kidul,Tidak/Belum Tamat SD,30256
Kab. Gunung Mas,Tamat PT,4200
Kab. Gunung Mas,Tamat SD,21736
Kab. Gunung Mas,Tamat SLTA,13531
Kab. Gunung Mas,Tamat SLTP,19580
Kab. Gunung Mas,Tidak/Belum Tamat SD,4163
Kab. Halmahera Barat,Tamat PT,3722
Kab. Halmahera Barat,Tamat SD,21946
Kab. Halmahera Barat,Tamat SLTA,13031
Kab. Halmahera Barat,Tamat SLTP,14129
Kab. Halmahera Barat,Tidak/Belum Tamat SD,8748
Kab. Halmahera Selatan,Tamat PT,4890
Kab. Halmahera Selatan,Tamat SD,49923
Kab. Halmahera Selatan,Tamat SLTA,20132
Kab. Halmahera Selatan,Tamat SLTP,27897
Kab. Halmahera Selatan,Tidak/Belum Tamat SD,12502
Kab. Halmahera Tengah,Tamat PT,2220
Kab. Halmahera Tengah,Tamat SD,8845
